URL,Title,Selection,Folder,Timestamp,Tags
https://www.lesswrong.com/posts/KRLGxCaqdgrotyB8z/there-are-only-four-skills-design-technical-management-and,"There are only four skills: design, technical, management and physical — LessWrong",,Unread,1777082756,[]
https://x.com/DylanCalluy/status/2014020848089223440,,,Unread,1777079177,[]
https://anenfantterrible.substack.com/p/taste-test-encrusting-the-tortoise,Taste Test: Encrusting the Tortoise,,Unread,1776577908,[]
https://www.themarginalian.org/2026/04/09/brian-eno-burnout/,Brian Eno’s Remedy for Burnout and Despair,,Unread,1776576535,[]
https://www.forbesindia.com/article/boardroom/can-flipkart-deliver/33240/1,Can Flipkart Deliver?,,Unread,1773860341,[]
https://dominiccummings.substack.com/about,About - Dominic Cummings substack,,Unread,1772158143,[]
https://www.ben-evans.com/benedictevans/2026/2/19/how-will-openai-compete-nkg2x,How will OpenAI compete? — Benedict Evans,,Unread,1771817776,[]
https://medium.com/@vishalmisra/something-big-is-happening-heres-what-it-actually-is-9523482c4e00,Something Big Is Happening. Here’s What It Actually Is.,,Unread,1771642897,[]
https://www.benkuhn.net/pjm/,How I've run major projects,,Unread,1771643287,[]
https://www.bbc.com/future/article/20251223-25-years-of-the-international-space-station-in-numbers,All you need to know about the International Space Station's 25 years in orbit,,Unread,1766600451,[]
https://usefulfictions.substack.com/p/how-to-be-more-agentic,How to be more agentic,,Unread,1766531704,[]
https://www.youtube.com/watch?list=RDg3fOVDTg9pU&start_radio=1&v=g3fOVDTg9pU,Recomposed by Max Richter: Vivaldi's Four Seasons - Tito Muñoz/Daniel Hope/Ensemble LPR,,Unread,1763938644,[]
https://meet.google.com,Join this video meeting,,Unread,1762659137,[]
https://vinaysridhar.com/ai-capital-markets-reflections.html,Observations on AI and the Capital Markets in 2025,,Unread,1760602394,[]
https://joincolossus.com/article/joe-liemandt-class-dismissed/,The Software Tycoon Scaling AI Education to a Billion Kids,,Unread,1759982688,[]
https://meresophistry.substack.com/p/the-mental-tyranny-of-ai-writing,The mental tyranny of AI writing,,Unread,1759869911,[]
https://klim.co.nz/blog/signifier-design-information/,Klim Type Foundry · Signifier design information,,Unread,1757924935,[]
https://every.to/p/asset-light-software-businesses-the-new-paradigm-for-startups,Asset-light Software Businesses: The New Paradigm for Startups,,Unread,1757620697,[]
https://skincontact.substack.com/p/21-observations-from-people-watching?r=20efuv&utm_campaign=post&utm_medium=web&triedRedirect=true,21 observations from people watching,,Unread,1757016039,[]
https://www.sjc.edu/academic-programs/undergraduate/great-books-reading-list,Great Books Reading List and Curriculum | St. John's College,,Unread,1757013512,[]
https://www.gentlydownthe.stream/,Gently Down the Stream,,Unread,1752450538,[]
https://www.sscardapane.it/assets/alice/Alice_book_volume_1.pdf,,,Unread,1751726909,[]
https://medium.com/@HadickM/stablecoins-and-the-collapse-of-the-legacy-payment-model-53ca9542a9a0,Stablecoins and the Collapse of the Legacy Payment Model,,Unread,1751203458,[]
https://jfredrickson.com/day-1396-and-writes-not/,Day 1396 and Writes Not – Julie Fredrickson,,Unread,1748757718,[]
https://www.founderstribune.org/p/becoming-steve-jobs-foreword-by-marc-andreessen-b165,Becoming Steve Jobs Foreword by Marc Andreessen,,Unread,1738739858,[]
https://archive.org/details/take-ivy-t.-hayashida,Take Ivy,,Unread,1741043530,[]
https://www.historydefined.net/drugs-in-greece-and-rome/,https://www.historydefined.net/drugs-in-greece-and-rome/,,Unread,1674314213,[]
https://nautil.us/love-is-biological-bribery-238429/,https://nautil.us/love-is-biological-bribery-14058/,,Unread,1645984699,[]
http://asiatimes.com/2024/11/to-donald-trump-from-han-feizi/,"To Donald Trump, From Han Feizi",,Unread,1739124470,[]
https://themarket.ch/interview/russell-napier-we-are-headed-towards-a-system-of-national-capitalism-ld.12718,Russell Napier: We Are Headed Towards a System of National Capitalism,,Unread,1741899651,[]
https://www.fastcompany.com/91044923/watching-susan-kare-explain-the-mac-ux-in-1984-is-the-most-relaxing-thing-ever,Watching Susan Kare explain the Mac is the most relaxing thing ever,,Unread,1730393971,[]
https://www.ft.com/content/5308cd9f-037e-4524-a6d8-7388b3514199,No other investor has a life story quite as unbelievable as Li Lu,,Unread,1694226500,[]
https://www.goodreads.com/notes/20873740-sapiens/3427339-jeffrey-keeten,https://www.goodreads.com/notes/20873740-sapiens/3427339-jeffrey-keeten?ref=notif_fsrn,,Unread,1576517472,[]
https://www.theverge.com/c/24247055/2004-tech-internet-gadgets-phones-pop-culture,2004 was the first year of the future,,Unread,1729786225,[]
https://www.nobelprize.org/uploads/2018/06/pamuk-lecture_en.pdf,https://www.nobelprize.org/uploads/2018/06/pamuk-lecture_en.pdf,,Unread,1707188067,[]
https://www.goodreads.com/blog/show/2916-from-1925-to-2024-100-years-of-popular-books-on-goodreads,From 1925 to 2024: 100 Years of Popular Books (on Goodreads) - Goodreads News & Interviews,,Unread,1744667783,[]
https://medium.com/saasboomi/esops-101-know-your-stocks-8824c69d2e94,https://medium.com/saasboomi/esops-101-know-your-stocks-8824c69d2e94,,Unread,1624731662,"[""tech""]"
https://www.bbc.com/future/article/20240906-from-space-selfies-to-nearly-drowning-the-11-spacewalks-that-made-history,Walking above the air: The awe-inspiring history of spacewalks,,Unread,1726964246,[]
https://getpocket.com/collections/things-everyone-should-know-about-product-psychology,https://getpocket.com/collections/things-everyone-should-know-about-product-psychology,,Unread,1648399901,[]
https://a16z.com/latin-americas-fintech-boom/,https://a16z.com/2021/04/13/latin-america-fintech/,,Unread,1621019971,[]
https://every.to/thesis/how-to-build-a-truly-useful-ai-product,How to Build a Truly Useful AI Product,,Unread,1737507698,[]
https://compcalc.github.io/public/church/church_calculi_1941.pdf,church_calculi_1941.pdf,,Unread,1729791791,[]
https://www.honest-broker.com/p/what-can-we-learn-from-barnes-and,What Can We Learn from Barnes & Noble's Surprising Turnaround?,,Unread,1689936462,[]
https://quona-capital.medium.com/how-apis-are-transforming-banking-3492b4e68398,https://medium.com/@Quona_Capital15/how-apis-are-transforming-banking-3492b4e68398,,Unread,1595943823,[]
https://www.openvc.app/opendeck,https://opendeck.app/?ref=producthunt,,Unread,1604219523,[]
https://caseyhandmer.wordpress.com/2025/02/04/stuff-you-should-have-been-taught-in-college-but-werent/,Stuff you should have been taught in college but weren’t,,Unread,1739120806,[]
https://www.cs.utexas.edu/~eunsol/courses/data/bitter_lesson.pdf,bitter_lesson.pdf,,Unread,1740588986,[]
https://patrickcollison.com/fast,Fast · Patrick Collison,,Unread,1740037830,[]
https://www.slideshare.net/slideshow/the-alliance-a-visual-summary/36981114,The Alliance: A Visual Summary | PPT,,Unread,1742158047,[]
https://priyanshuchhazed.medium.com/a-marriage-with-a-pinch-of-a-start-up-70aa5dcb1fae,https://priyanshuchhazed.medium.com/a-marriage-with-a-pinch-of-a-start-up-70aa5dcb1fae,,Unread,1643789998,[]
https://academics.hamilton.edu/documents/themundanityofexcellence.pdf,themundanityofexcellence.pdf,,Unread,1740589254,[]
https://www.palladiummag.com/2024/08/30/when-the-mismanagerial-class-destroys-great-companies/,When the Mismanagerial Class Destroys Great Companies,,Unread,1741043586,[]
https://sriramk.com/memos/zuck-unity.pdf,https://sriramk.com/memos/zuck-unity.pdf,,Unread,1665988942,[]
https://www.thepullrequest.com/p/the-invisible-boot,https://www.thepullrequest.com/p/the-invisible-boot,,Unread,1626631754,[]
https://www.bbc.com/news/articles/cwyl171lyewo,America through the looking glass: The crypto bros crowdfunding a new country,,Unread,1726851880,[]
https://qz.com/1100221/the-worlds-first-negative-emissions-plant-has-opened-in-iceland-turning-carbon-dioxide-into-stone,https://qz.com/1100221/the-worlds-first-negative-emissions-plant-has-opened-in-iceland-turning-carbon-dioxide-into-stone/,,Unread,1515739683,[]
https://mitsloan.mit.edu/ideas-made-to-matter/steve-jobs-talks-consultants-hiring-and-leaving-apple-unearthed-1992-talk,https://mitsloan.mit.edu/ideas-made-to-matter/steve-jobs-talks-consultants-hiring-and-leaving-apple-unearthed-1992-talk,,Unread,1563900092,[]
https://www.newstatesman.com/ideas/2024/01/john-gray-peter-thiel-discussion-post-modern-world,John Gray and Peter Thiel: Life in a postmodern world - New Statesman,,Unread,1728507421,[]
https://waitbutwhy.com/2018/04/picking-career.html,https://waitbutwhy.com/2018/04/picking-career.html?utm_source=pocket_collection_story,,Unread,1667738392,[]
https://www.bbc.com/news/world-middle-east-39960461,http://www.bbc.co.uk/news/world-middle-east-39960461,,Unread,1496677894,[]
https://review.firstround.com/give-away-your-legos-and-other-commandments-for-scaling-startups/,https://review.firstround.com/give-away-your-legos-and-other-commandments-for-scaling-startups,,Unread,1642789241,[]
https://www.theatlantic.com/science/archive/2024/03/universe-physics-philosophy-blind-spot-experience/677641/,The Universe Is Nothing Without Us,,Unread,1710269044,[]
https://www.notboring.co/p/nifty-corporates,https://www.notboring.co/p/nifty-corporates,,Unread,1634061157,[]
https://sidu.in/essays/hiring-product-managers.html,https://sidu.in/essays/hiring-product-managers.html#skills,,Unread,1654781995,[]
https://www.bostonreview.net/articles/china-and-the-lure-of-global-capitalism/,https://www.bostonreview.net/articles/china-and-the-lure-of-global-capitalism/,,Unread,1667112436,[]
https://www.institutionalinvestor.com/article/2bswcr8vbel8iskltcq2o/corner-office/the-mba-myth-and-the-cult-of-the-ceo,The MBA Myth and the Cult of the CEO,,Unread,1737505323,[]
https://aeon.co/essays/empires-pandemics-and-the-economic-future-of-the-west,https://aeon.co/essays/empires-pandemics-and-the-economic-future-of-the-west,,Unread,1632069940,[]
https://www.ribbonfarm.com/2020/01/16/the-internet-of-beefs/,The Internet of Beefs,,Unread,1756832705,[]
https://www.newyorker.com/magazine/2019/08/05/the-invention-of-money,https://www.newyorker.com/magazine/2019/08/05/the-invention-of-money?utm_source=pocket&utm_medium=email&utm_campaign=pockethits,,Unread,1566660380,[]
https://www.bvp.com/atlas/the-cloud-100-benchmarks-report,https://www.bvp.com/atlas/the-cloud-100-benchmarks-report,,Unread,1617543799,"[""tech""]"
https://randle.substack.com/p/playing-different-games,Playing Different Games - by Everett Randle,,Unread,1745450641,[]
https://caseyhandmer.wordpress.com/2022/10/11/why-high-speed-rail-hasnt-caught-on/,https://caseyhandmer.wordpress.com/2022/10/11/why-high-speed-rail-hasnt-caught-on/,,Unread,1665987098,[]
https://www.nationalgeographic.com/magazine/article/holland-agriculture-sustainable-farming,This Tiny Country Feeds the World,,Unread,1715055092,[]
https://how.complexsystems.fail/,How Complex Systems Fail,,Unread,1733539821,[]
